Date,Price,Open,High,Low,Vol.Change %,True Range,Max_Range,Min_Range,Simple Moving Average ,Del C,Output(3 Days)
27-03-2018,1.4157,1.4231,1.4246,1.4067,-0.50%,0.0177000000000001,1.4246,1.3788,1.6776,-0.0420000000000016,1.4018
28-03-2018,1.4078,1.4154,1.4202,1.4069,-0.56%,0.0179,1.4246,1.3839,1.6818,-0.0301999999999971,1.4045
29-03-2018,1.4017,1.4077,1.4098,1.401,-0.43%,0.0179,1.4246,1.3876,1.68482,-0.0171000000000028,1.4059
30-03-2018,1.4018,1.4018,1.4062,1.4009,0.01%,0.0179,1.4246,1.3886,1.68653,-0.00569999999999737,1.4082
02-04-2018,1.4045,1.4026,1.408,1.402,0.19%,0.0179,1.4246,1.3886,1.6871,-0.00640000000000285,1.4003
03-04-2018,1.4059,1.4045,1.4091,1.4021,0.10%,0.0179,1.4246,1.3886,1.68774,-0.0108999999999995,1.4092
04-04-2018,1.4082,1.4059,1.4098,1.4014,0.16%,0.0179,1.4246,1.3911,1.68883,-0.0127999999999986,1.4131
05-04-2018,1.4003,1.4079,1.41,1.3965,-0.56%,0.0179,1.4246,1.3981,1.69011,-0.00550000000000139,1.4175
06-04-2018,1.4092,1.4003,1.4106,1.3982,0.64%,0.0179,1.4246,1.3997,1.69066,-0.000499999999998835,1.4179
09-04-2018,1.4131,1.4098,1.4166,1.4077,0.28%,0.0179,1.4246,1.4009,1.69071,0.00430000000000064,1.4227
10-04-2018,1.4175,1.4131,1.4191,1.4121,0.31%,0.0179,1.4246,1.4009,1.69028,-0.0035000000000025,1.4241
11-04-2018,1.4179,1.4177,1.4224,1.4161,0.03%,0.0179,1.4246,1.3965,1.69063,-0.00349999999999895,1.4338
12-04-2018,1.4227,1.4178,1.4248,1.4145,0.34%,0.0179,1.4246,1.3965,1.69098,0.00530000000000186,1.4288
13-04-2018,1.4241,1.4226,1.4298,1.422,0.10%,0.0134999999999998,1.4248,1.3965,1.69045,-0.00720000000000098,1.4203
16-04-2018,1.4338,1.4254,1.4347,1.4227,0.68%,0.0134999999999998,1.4298,1.3965,1.69117,-0.0177000000000014,1.4091
17-04-2018,1.4288,1.4336,1.4378,1.4282,-0.35%,0.0134999999999998,1.4347,1.3965,1.69294,-0.0318000000000005,1.4004
18-04-2018,1.4203,1.4288,1.4316,1.4173,-0.59%,0.0134999999999998,1.4378,1.3965,1.69612,-0.0261999999999993,1.3941
19-04-2018,1.4091,1.4202,1.4246,1.4068,-0.79%,0.0143,1.4378,1.3965,1.69874,-0.0156999999999989,1.3977
20-04-2018,1.4004,1.4086,1.4092,1.3994,-0.62%,0.0178,1.4378,1.3965,1.70031,-0.00270000000000081,1.3931
23-04-2018,1.3941,1.402,1.4033,1.3926,-0.45%,0.0178,1.4378,1.3965,1.70058,0.00590000000000046,1.3916
24-04-2018,1.3977,1.394,1.3989,1.3918,0.26%,0.0178,1.4378,1.3982,1.69999,0.00629999999999953,1.378
25-04-2018,1.3931,1.3979,1.3998,1.3923,-0.33%,0.0178,1.4378,1.4068,1.69936,0.0119000000000007,1.3772
26-04-2018,1.3916,1.3933,1.3999,1.3895,-0.11%,0.0178,1.4378,1.3994,1.69817,0.0198,1.3614
27-04-2018,1.378,1.392,1.3937,1.3747,-0.98%,0.0178,1.4378,1.3926,1.69619,0.0257000000000005,1.3578
30-04-2018,1.3772,1.3787,1.3795,1.3714,-0.06%,0.0189999999999999,1.4378,1.3918,1.69362,0.0391000000000012,1.3576
01-05-2018,1.3614,1.3762,1.3776,1.3589,-1.15%,0.0189999999999999,1.4378,1.3918,1.68971,0.0463999999999984,1.3533
02-05-2018,1.3578,1.3614,1.3668,1.3554,-0.26%,0.0189999999999999,1.4378,1.3895,1.68507,0.0640000000000001,1.3557
03-05-2018,1.3576,1.358,1.3631,1.3537,-0.01%,0.0189999999999999,1.4378,1.3747,1.67867,0.0756000000000014,1.3546
04-05-2018,1.3533,1.3577,1.3588,1.3487,-0.32%,0.0189999999999999,1.4316,1.3714,1.67111,0.0710999999999977,1.3546
07-05-2018,1.3557,1.3536,1.3577,1.3515,0.18%,0.0189999999999999,1.4246,1.3589,1.664,0.0666000000000011,1.3517
08-05-2018,1.3546,1.3557,1.3593,1.3484,-0.08%,0.0189999999999999,1.4092,1.3554,1.65734,0.0529000000000011,1.3543
09-05-2018,1.3546,1.3546,1.3608,1.3498,0.00%,0.0189999999999999,1.4033,1.3537,1.65205,0.0473999999999997,1.3556
10-05-2018,1.3517,1.3544,1.3618,1.3458,-0.21%,0.0189999999999999,1.3999,1.3487,1.64731,0.0396000000000001,1.3506
11-05-2018,1.3543,1.352,1.3598,1.3502,0.19%,0.0189999999999999,1.3999,1.3487,1.64335,0.0458999999999996,1.3488
14-05-2018,1.3556,1.3547,1.361,1.3538,0.10%,0.0189999999999999,1.3999,1.3484,1.63876,0.0385999999999989,1.3517
15-05-2018,1.3506,1.3558,1.3575,1.3452,-0.37%,0.0189999999999999,1.3937,1.3484,1.6349,0.0362000000000009,1.3474
16-05-2018,1.3488,1.3506,1.3523,1.3456,-0.13%,0.0186999999999999,1.3795,1.3458,1.63128,0.0280999999999985,1.3431
17-05-2018,1.3517,1.3489,1.3571,1.3473,0.22%,0.0186999999999999,1.3776,1.3458,1.62847,0.0273000000000003,1.3436
18-05-2018,1.3474,1.3518,1.3531,1.3455,-0.32%,0.0159999999999998,1.3668,1.3458,1.62574,0.0096000000000025,1.3349
